;Emplacement SPADOM - Borde dépôts et toitures TL (45171);45171;True
;Emplacement SPADOM - Chalet-à-Gobet Football (21246);21246;True
;Emplacement SPADOM - Belvédère, classe de racc. (90103);90103;True
;Emplacement SPADOM - Toiture - Caféteria CIO (746);746;True
;Emplacement SPADOM - Belvédère Collège (59139);59139;True
;Emplacement SPADOM - Près de Vidy Jeux de Boules (21772);21772;True
;Emplacement SPADOM - Mont-Loisir square (45679);45679;True
;Emplacement SPADOM - Pavement Jeux de Boules (21709);21709;True
;Emplacement SPADOM - Bellevaux Garderie (33135);33135;True
;Emplacement SPADOM - Vers-chez-les-Blanc réservoir (72928);72928;True
;Emplacement SPADOM - Malley Chapelle (33492);33492;True
;Emplacement SPADOM - Provence berme & giratoire (45778);45778;True
;Emplacement SPADOM - Blecherette terrains (21153);21153;True
;Emplacement SPADOM - Malley Collège (58605);58605;True
;Emplacement SPADOM - Steinlen (45882);45882;True
;Emplacement SPADOM - Service social-Chauderon 7 (987);987;True
;Emplacement SPADOM - Villamont-Dessous Collège (59971);59971;True
;Emplacement SPADOM - Harpe placette (45477);45477;True
;Emplacement SPADOM - Villamont maison du 18ème (33971);33971;True
;Emplacement SPADOM - Vidy Education Physique Manifs (21949);21949;True
;Emplacement SPADOM - Coteau Fleuri collège (58369);58369;True
;Emplacement SPADOM - Terraux église (45837);45837;True
;Emplacement SPADOM - Bois-Mermet prison (90139);90139;True
;Emplacement SPADOM - Jardin du théâtre restaurant (33491);33491;True
;Emplacement SPADOM - Clocheton promenade (45261);45261;True
;Emplacement SPADOM - Epsic/PP (45375);45375;True
;Emplacement SPADOM - Fontaine de cuivre (45407);45407;True
;Emplacement SPADOM - Tour rue de la (45845);45845;True
;Emplacement SPADOM - Cerisier plantage (45240);45240;True
;Emplacement SPADOM - Brillancourt promenade (45185);45185;True
;Emplacement SPADOM - Chailly nouveau reservoir (72244);72244;True
;Emplacement SPADOM - Sauvabelin réservoir (72808);72808;True
;Emplacement SPADOM - Eterpey quartier (45383);45383;True
;Emplacement SPADOM - Bethusy Collège (59148);59148;True
;Emplacement SPADOM - Halte Prilly-Malley (45479);45479;True
;Emplacement SPADOM - Bourdonnette Quartier Garderie (33172);33172;True
;Emplacement SPADOM - 'Vidy Centre Romand d''Aviron' (21943);21943;True
;Emplacement SPADOM - Chalet-à-Gobet Collège (58245);58245;True
;Emplacement SPADOM - Valency réservoir (72901);72901;True
;Emplacement SPADOM - Vélodrome restaurant (33925);33925;True
;Emplacement SPADOM - Chamblandes gymnase, Pully (90112);90112;True
;Emplacement SPADOM - Servan giratoire (45826);45826;True
;Emplacement SPADOM - Entre-Bois quartier (45368);45368;True
;Emplacement SPADOM - St Marc Eglise (45796);45796;True
;Emplacement SPADOM - Pavement Talus-parcelle 2583 (33775);33775;True
;Emplacement SPADOM - Valentin Multisports (45903);45903;True
;Emplacement SPADOM - Beaulieu château promenade (45122);45122;True
;Emplacement SPADOM - Cité-vieux-bourg (45253);45253;True
;Emplacement SPADOM - Flumeaux station (73458);73458;True
;Emplacement SPADOM - Harpe plantage (45478);45478;True
;Emplacement SPADOM - St-François Poste (885);885;True
;Emplacement SPADOM - 'Ecole d''ingenieurs' (45354);45354;True
;Emplacement SPADOM - Ouchy quais (45690);45690;True
;Emplacement SPADOM - 'Croix d''Ouchy eglise et CPO' (45276);45276;True
;Emplacement SPADOM - Solitude promenade (45805);45805;True
;Emplacement SPADOM - Sébeillon station (73800);73800;True
;Emplacement SPADOM - Rohner Campagne (45785);45785;True
;Emplacement SPADOM - Vigie Jeux de Boules (21969);21969;True
;Emplacement SPADOM - ETML - Sébeillon 12 (90125);90125;True
;Emplacement SPADOM - Devin promenade (45339);45339;True
;Emplacement SPADOM - Clamadour promenede (45260);45260;True
;Emplacement SPADOM - Vieux-Moulin Collège (58967);58967;True
;Emplacement SPADOM - Bourdonnette quartier (45173);45173;True
;Emplacement SPADOM - Flon/Europe Gare M2 (45430);45430;True
;Emplacement SPADOM - Collonges 2 (90116);90116;True
;Emplacement SPADOM - Valency Garderie (33902);33902;True
;Emplacement SPADOM - Sallaz promenade (45806);45806;True
;Emplacement SPADOM - Marquisat 4 (45610);45610;True
;Emplacement SPADOM - Derrière-Bourg promenade (45333);45333;True
;Emplacement SPADOM - Bergières (45142);45142;True
;Emplacement SPADOM - Bourgeoise Terrain (21175);21175;True
;Emplacement SPADOM - Vuachère - Sentier du Renard (45982);45982;True
;Emplacement SPADOM - Vidy château alentours (45945);45945;True
